Scenario,Algorithm,SampleCount,MeanMilliseconds,MedianMilliseconds,StdDevMilliseconds,MeanAllocatedBytes,Failures
Cold,RecursiveDfs,12000,0.083464683333333081,0.0068500000000000002,0.16155133545635866,160032,0
Cold,Bfs,12000,0.026932549999999843,0.0058999999999999999,0.038565391032601773,88642.001999999993,0
Cold,CacheDfs,12000,0.12730064166666713,0.018849999999999999,0.22407498850181592,252030.66666666666,0
Cold,Morris,12000,0.062351150000000403,0.01,0.11264436529187899,106307.33333333333,0
WarmBaseline,RecursiveDfs,180,0.084031111111111084,0.0065000000000000006,0.1633414073816927,160032,0
WarmCache,CacheDfs,180,0.00025944444444444436,0.00020000000000000001,0.00024893042808120375,40,0
