Scenario,Size,Shape,Algorithm,SampleCount,MeanMilliseconds,MedianMilliseconds,StdDevMilliseconds,MinMilliseconds,MaxMilliseconds,MeanAllocatedBytes,Failures
Cold,10,DegenerateRight,Bfs,1000,0.00095710000000000434,0.00089999999999999998,0.00038588805371506411,0.00050000000000000001,0.0044000000000000003,200,0
Cold,10,DegenerateRight,CacheDfs,1000,0.001882600000000011,0.0016999999999999999,0.00076549150223892025,0.0011000000000000001,0.0106,1432,0
Cold,10,DegenerateRight,Morris,1000,0.0007464000000000021,0.00069999999999999999,0.00037526928997721164,0.00040000000000000002,0.0083000000000000001,40,0
Cold,100,DegenerateRight,RecursiveDfs,1000,0.0091608999999999892,0.0085000000000000006,0.0027461648147917121,0.0064999999999999997,0.0252,16224,0
Cold,100,DegenerateRight,Bfs,1000,0.0068231000000000073,0.0064999999999999997,0.0012501585459452718,0.0048999999999999998,0.028500000000000001,9328,0
Cold,100,DegenerateRight,CacheDfs,1000,0.023446799999999986,0.022499999999999999,0.0039042450947654396,0.016199999999999999,0.082799999999999999,37200,0
Cold,100,DegenerateRight,Morris,1000,0.0073564000000000199,0.0070000000000000001,0.0037392885740472189,0.0057999999999999996,0.1203,9168,0
Cold,1000,DegenerateRight,RecursiveDfs,1000,0.43845319999999982,0.4375,0.016755151141067036,0.39090000000000003,0.63270000000000004,909280,0
Cold,1000,DegenerateRight,Bfs,1000,0.10461349999999986,0.10440000000000001,0.0054417210283144845,0.094799999999999995,0.16400000000000001,470320,0
Cold,1000,DegenerateRight,CacheDfs,1000,0.61900190000000155,0.61519999999999997,0.024689131746377806,0.55879999999999996,0.88270000000000004,1301760,0
Cold,1000,DegenerateRight,Morris,1000,0.10699220000000002,0.10630000000000001,0.011625982072926146,0.094799999999999995,0.4229,470160,0
Cold,10,Random,RecursiveDfs,1000,0.00078690000000000411,0.00069999999999999999,0.00028167071200250869,0.00040000000000000002,0.0040000000000000001,40,0
Cold,10,Random,Bfs,1000,0.0013580000000000035,0.0011999999999999999,0.00054850341840320302,0.00059999999999999995,0.0089999999999999993,200,0
Cold,10,Random,CacheDfs,1000,0.002599799999999992,0.0025000000000000001,0.00063532665613839977,0.0015,0.0077999999999999996,1432,0
Cold,10,Random,Morris,1000,0.001789800000000012,0.0016999999999999999,0.00054740840329684317,0.001,0.0068999999999999999,40,0
Cold,100,Random,RecursiveDfs,1000,0.0047252000000000136,0.0045999999999999999,0.00075474827591721038,0.0037000000000000002,0.022700000000000001,1640,0
Cold,100,Random,Bfs,1000,0.005589299999999982,0.0054999999999999997,0.00066763426365039043,0.0041999999999999997,0.012999999999999999,2128,0
Cold,100,Random,CacheDfs,1000,0.014127699999999988,0.013899999999999999,0.0013951353733598734,0.011299999999999999,0.025100000000000001,15656,0
Cold,100,Random,Morris,1000,0.010941600000000006,0.010800000000000001,0.001514856244004696,0.0086999999999999994,0.045199999999999997,1128,0
Cold,1000,Random,RecursiveDfs,1000,0.06084849999999991,0.059900000000000002,0.0054300826651166104,0.052699999999999997,0.1308,63848,0
Cold,1000,Random,Bfs,1000,0.052608899999999958,0.0521,0.0043932801856926915,0.042500000000000003,0.1017,57944,0
Cold,1000,Random,CacheDfs,1000,0.11135690000000004,0.1101,0.0069755338426531919,0.097799999999999998,0.14860000000000001,158976,0
Cold,1000,Random,Morris,1000,0.1054099,0.105,0.0059031679622046961,0.092899999999999996,0.153,61064,0
WarmBaseline,10,Complete,RecursiveDfs,15,0.00039333333333333332,0.00040000000000000002,9.2855921847894153E-05,0.00029999999999999997,0.00059999999999999995,40,0
WarmBaseline,100,Complete,RecursiveDfs,15,0.0032066666666666671,0.0030999999999999999,0.00027920522121829231,0.0028,0.0040000000000000001,40,0
WarmBaseline,1000,Complete,RecursiveDfs,15,0.032173333333333325,0.031099999999999999,0.0020160908268781505,0.0293,0.036200000000000003,3688,0
WarmBaseline,10,DegenerateLeft,RecursiveDfs,15,0.00042000000000000007,0.00040000000000000002,4.0000000000000003E-05,0.00040000000000000002,0.00050000000000000001,40,0
