Scenario,Shape,Size,Algorithm,SampleCount,MeanMilliseconds,MedianMilliseconds,StdMilliseconds,MinMilliseconds,MaxMilliseconds,MeanAllocatedBytes,MedianAllocatedBytes,MinAllocatedBytes,MaxAllocatedBytes,Failures
Cold,DegenerateRight,1000,Morris,1000,0.10699219999999998,0.1063,0.011631799427342184,0.0947999999999999,0.4229,470160.0,470160.0,470160,470160,0
Cold,DegenerateRight,1000,RecursiveDfs,1000,0.4384532,0.4375,0.016763535005059806,0.3909,0.6327,909280.0,909280.0,909280,909280,0
Cold,Random,10,Bfs,1000,0.0013579999999999602,0.0011999999999999,0.0005487778759727466,0.0005999999999999,0.0089999999999999,200.0,200.0,200,200,0
Cold,Random,10,CacheDfs,1000,0.0025997999999999677,0.0025,0.0006356445579126735,0.0015,0.0077999999999999,1432.0,1432.0,1432,1432,0
Cold,Random,10,Morris,1000,0.0017897999999999645,0.0016999999999999,0.0005476823129478604,0.001,0.0068999999999999,40.0,40.0,40,40,0
Cold,Random,10,RecursiveDfs,1000,0.0007868999999999406,0.0006999999999999,0.00028181165307313537,0.0004,0.004,40.0,40.0,40,40,0
Cold,Random,100,Bfs,1000,0.005589299999999951,0.0054999999999999,0.0006679683313538854,0.0041999999999999,0.0129999999999999,2128.0,2128.0,2128,2128,0
Cold,Random,100,CacheDfs,1000,0.014127699999999977,0.0138999999999999,0.00139583346465868,0.0112999999999999,0.0251,15656.0,15656.0,15656,15656,0
Cold,Random,100,Morris,1000,0.010941599999999975,0.0108,0.0015156142406715927,0.0086999999999999,0.0451999999999999,1128.0,1128.0,1128,1128,0
Cold,Random,100,RecursiveDfs,1000,0.004725199999999949,0.0045999999999999,0.0007551259333218399,0.0037,0.0227,1640.0,1640.0,1640,1640,0
Cold,Random,1000,Bfs,1000,0.052608899999999965,0.0521,0.004395478474639712,0.0425,0.1017,57944.0,57944.0,57944,57944,0
Cold,Random,1000,CacheDfs,1000,0.11135689999999998,0.1101,0.006979024227581475,0.0977999999999999,0.1486,158976.0,158976.0,158976,158976,0
Cold,Random,1000,Morris,1000,0.10540989999999997,0.105,0.005906121761720158,0.0928999999999999,0.153,61064.0,61064.0,61064,61064,0
Cold,Random,1000,RecursiveDfs,1000,0.06084849999999996,0.0599,0.005432799744428562,0.0526999999999999,0.1308,63848.0,63848.0,63848,63848,0
WarmBaseline,Complete,10,RecursiveDfs,15,0.00039333333333328664,0.0004,9.611501047235173e-05,0.0002999999999999,0.0005999999999999,40.0,40.0,40,40,0
WarmBaseline,Complete,100,RecursiveDfs,15,0.003206666666666627,0.0030999999999999,0.0002890048607269561,0.0028,0.004,40.0,40.0,40,40,0
WarmBaseline,Complete,1000,RecursiveDfs,15,0.0321733333333333,0.0310999999999999,0.0020868522662019938,0.0293,0.0362,3688.0,3688.0,3688,3688,0
WarmBaseline,DegenerateLeft,10,RecursiveDfs,15,0.00042,0.0004,4.1403933560541246e-05,0.0004,0.0005,40.0,40.0,40,40,0
WarmBaseline,DegenerateLeft,100,RecursiveDfs,15,0.009633333333333294,0.0083999999999999,0.0035150018627645406,0.0071,0.0182,16224.0,16224.0,16224,16224,0
WarmBaseline,DegenerateLeft,1000,RecursiveDfs,15,0.4476266666666666,0.445,0.017970271747156933,0.4309,0.508,909280.0,909280.0,909280,909280,0
WarmBaseline,DegenerateRight,10,RecursiveDfs,15,0.0005466666666666467,0.0005,0.000145732958654133,0.0004,0.0008999999999999,40.0,40.0,40,40,0
WarmBaseline,DegenerateRight,100,RecursiveDfs,15,0.008026666666666633,0.0079,0.0006891678902505208,0.0064,0.0092999999999999,16224.0,16224.0,16224,16224,0
WarmBaseline,DegenerateRight,1000,RecursiveDfs,15,0.44723999999999997,0.443,0.01174422654510961,0.4324,0.4712,909280.0,909280.0,909280,909280,0
WarmBaseline,Random,10,RecursiveDfs,15,0.0007666666666666201,0.0006999999999999,0.00020586634591636434,0.0005,0.0011,40.0,40.0,40,40,0
WarmBaseline,Random,100,RecursiveDfs,15,0.005219999999999941,0.0048999999999999,0.0007589466384404213,0.004,0.0066,1640.0,1640.0,1640,1640,0
WarmBaseline,Random,1000,RecursiveDfs,15,0.05311999999999996,0.0524999999999999,0.002693696345173308,0.0495999999999999,0.0587999999999999,63848.0,63848.0,63848,63848,0
WarmCache,Complete,10,CacheDfs,15,0.00014666666666666,0.0001,0.00011872336794092348,0.0,0.0005,40.0,40.0,40,40,0
WarmCache,Complete,100,CacheDfs,15,0.00012666666666666666,0.0001,7.037315505489969e-05,0.0,0.0002,40.0,40.0,40,40,0
WarmCache,Complete,1000,CacheDfs,15,0.00012666666666666,0.0001,7.988086367178252e-05,0.0,0.0002999999999999,40.0,40.0,40,40,0
WarmCache,DegenerateLeft,10,CacheDfs,15,0.0001333333333333267,0.0001,9.759000729484112e-05,0.0,0.0004,40.0,40.0,40,40,0
WarmCache,DegenerateLeft,100,CacheDfs,15,0.00023333333333332666,0.0001,0.00028199966227604396,0.0,0.001,40.0,40.0,40,40,0
WarmCache,DegenerateLeft,1000,CacheDfs,15,0.00021333333333332666,0.0002,0.00016846647257227603,0.0001,0.0006999999999999,40.0,40.0,40,40,0
WarmCache,DegenerateRight,10,CacheDfs,15,0.0002533333333332933,0.0002,0.00018847761013923364,0.0,0.0005999999999999,40.0,40.0,40,40,0
WarmCache,DegenerateRight,100,CacheDfs,15,0.00025999999999999336,0.0002,0.00023543273227944565,0.0,0.0008,40.0,40.0,40,40,0
WarmCache,DegenerateRight,1000,CacheDfs,15,0.0003999999999999667,0.0002999999999999,0.00032513733362116376,0.0002,0.0011999999999999,40.0,40.0,40,40,0
WarmCache,Random,10,CacheDfs,15,0.0003999999999999667,0.0004,0.00021712405933670405,0.0001,0.0008,40.0,40.0,40,40,0
WarmCache,Random,100,CacheDfs,15,0.00041333333333329336,0.0002999999999999,0.0003758165712659159,0.0001,0.0011999999999999,40.0,40.0,40,40,0
WarmCache,Random,1000,CacheDfs,15,0.00040666666666665333,0.0002999999999999,0.0003261609301877565,0.0001,0.0011999999999999,40.0,40.0,40,40,0
